Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:38:24 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
3.77500000E+002, 1.25994527E+001
3.80000000E+002, 1.29511309E+001
3.82500000E+002, 1.45734832E+001
3.85000000E+002, 1.50905544E+001
3.87500000E+002, 1.54370114E+001
3.90000000E+002, 1.60694995E+001
3.92500000E+002, 1.66889140E+001
3.95000000E+002, 1.72320930E+001
3.97500000E+002, 1.74572517E+001
4.00000000E+002, 1.82124034E+001
4.02500000E+002, 1.89241172E+001
4.05000000E+002, 1.91350382E+001
4.07500000E+002, 1.97371692E+001
4.10000000E+002, 1.99574235E+001
4.12500000E+002, 2.05677817E+001
4.15000000E+002, 2.09998839E+001
4.17500000E+002, 2.16355827E+001
4.20000000E+002, 2.18774382E+001
4.22500000E+002, 2.21052818E+001
4.25000000E+002, 2.23419878E+001
4.27500000E+002, 2.31288422E+001
4.30000000E+002, 2.37565778E+001
4.32500000E+002, 2.39550473E+001
4.35000000E+002, 2.45798454E+001
4.37500000E+002, 2.46598910E+001
4.40000000E+002, 2.53071230E+001
4.42500000E+002, 2.57517917E+001
4.45000000E+002, 2.63092868E+001
4.47500000E+002, 2.67976667E+001
4.50000000E+002, 2.73105293E+001
4.52500000E+002, 2.75674890E+001
4.55000000E+002, 2.81831221E+001
4.57500000E+002, 2.88152163E+001
4.60000000E+002, 2.93150750E+001
4.62500000E+002, 2.98332456E+001
4.65000000E+002, 3.04821048E+001
4.67500000E+002, 3.09993995E+001
4.70000000E+002, 3.13937535E+001
4.72500000E+002, 3.20514156E+001
4.75000000E+002, 3.24851984E+001
4.77500000E+002, 3.28559370E+001
4.80000000E+002, 3.36037714E+001
4.82500000E+002, 3.40250193E+001
4.85000000E+002, 3.47691682E+001
4.87500000E+002, 3.54520564E+001
4.90000000E+002, 3.58056455E+001
4.92500000E+002, 3.65762486E+001
4.95000000E+002, 3.73882158E+001
4.97500000E+002, 3.81983731E+001
5.00000000E+002, 3.91527614E+001
5.02500000E+002, 3.99785901E+001
5.05000000E+002, 4.09920870E+001
5.07500000E+002, 4.20636290E+001
5.10000000E+002, 4.32485469E+001
5.12500000E+002, 4.43652925E+001
5.15000000E+002, 4.59621387E+001
5.17500000E+002, 4.75890368E+001
5.20000000E+002, 4.94945950E+001
5.22500000E+002, 5.18695713E+001
5.25000000E+002, 5.50889741E+001
5.27500000E+002, 6.02938936E+001
5.30000000E+002, 7.17197187E+001
5.32500000E+002, 6.63928653E+001
5.35000000E+002, 5.81627221E+001
5.37500000E+002, 5.46187105E+001
5.40000000E+002, 5.18760298E+001
5.42500000E+002, 5.00476421E+001
5.45000000E+002, 4.84314841E+001
5.47500000E+002, 4.70422863E+001
5.50000000E+002, 4.61120813E+001
5.52500000E+002, 4.51149018E+001
5.55000000E+002, 4.43668743E+001
5.57500000E+002, 4.36006674E+001
5.60000000E+002, 4.29954696E+001
5.62500000E+002, 4.24067846E+001
5.65000000E+002, 4.18731583E+001
5.67500000E+002, 4.15246067E+001
5.70000000E+002, 4.09425584E+001
5.72500000E+002, 4.06756156E+001
5.75000000E+002, 4.02117900E+001
5.77500000E+002, 3.98947893E+001
5.80000000E+002, 3.96595765E+001
5.82500000E+002, 3.91755182E+001
5.85000000E+002, 3.89730172E+001
5.87500000E+002, 3.86769462E+001
5.90000000E+002, 3.84447278E+001
5.92500000E+002, 3.83273233E+001
5.95000000E+002, 3.79860685E+001
5.97500000E+002, 3.78411032E+001
6.00000000E+002, 3.76238143E+001
6.02500000E+002, 3.74238801E+001
6.05000000E+002, 3.71597374E+001
6.07500000E+002, 3.70296763E+001
6.10000000E+002, 3.68494485E+001
6.12500000E+002, 3.68192079E+001
6.15000000E+002, 3.67249012E+001
6.17500000E+002, 3.64839289E+001
6.20000000E+002, 3.65312448E+001
6.22500000E+002, 3.63479780E+001
6.25000000E+002, 3.62409100E+001
6.27500000E+002, 3.61918141E+001
6.30000000E+002, 3.61687729E+001
6.32500000E+002, 3.59975108E+001
6.35000000E+002, 3.59204091E+001
6.37500000E+002, 3.57373109E+001
6.40000000E+002, 3.56934816E+001
6.42500000E+002, 3.55702505E+001
6.45000000E+002, 3.54301499E+001
6.47500000E+002, 3.54165897E+001
6.50000000E+002, 3.55172954E+001
6.52500000E+002, 3.53180215E+001
6.55000000E+002, 3.54212294E+001
6.57500000E+002, 3.51879319E+001
6.60000000E+002, 3.52220027E+001
6.62500000E+002, 3.52768263E+001
6.65000000E+002, 3.52279564E+001
6.67500000E+002, 3.50796485E+001
6.70000000E+002, 3.51485412E+001
6.72500000E+002, 3.52137693E+001
6.75000000E+002, 3.50892446E+001
6.77500000E+002, 3.51392699E+001
6.80000000E+002, 3.50986766E+001
6.82500000E+002, 3.51175650E+001
6.85000000E+002, 3.51928543E+001
6.87500000E+002, 3.51700281E+001
6.90000000E+002, 3.52463278E+001
6.92500000E+002, 3.50977119E+001
6.95000000E+002, 3.53267197E+001
6.97500000E+002, 3.51006084E+001
7.00000000E+002, 3.51051742E+001
7.02500000E+002, 3.53895657E+001
7.05000000E+002, 3.52983151E+001
7.07500000E+002, 3.50941013E+001
7.10000000E+002, 3.53685910E+001
