Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:38:53 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
0.00000000E+000, 5.23894491E+001
2.50000000E+000, 1.16905134E+001
5.00000000E+000, 9.04557672E+000
7.50000000E+000, 1.23590284E+001
1.00000000E+001, 1.15139107E+001
1.25000000E+001, 2.24307584E+001
1.50000000E+001, 2.01452586E+001
1.75000000E+001, 1.75127480E+001
2.00000000E+001, 1.48311471E+001
2.25000000E+001, 1.59979298E+001
2.50000000E+001, 1.48607404E+001
2.75000000E+001, 1.28415482E+001
3.00000000E+001, 1.34996787E+001
3.25000000E+001, 1.15050194E+001
3.50000000E+001, 1.30490738E+001
3.75000000E+001, 1.28064518E+001
4.00000000E+001, 1.24123071E+001
4.25000000E+001, 1.40576555E+001
4.50000000E+001, 1.28422435E+001
4.75000000E+001, 1.14165605E+001
5.00000000E+001, 8.37951299E+000
5.25000000E+001, 1.01595908E+001
5.50000000E+001, 9.85952808E+000
5.75000000E+001, 7.96944402E+000
6.00000000E+001, 6.38711322E+000
6.25000000E+001, 9.92824772E+000
6.50000000E+001, 4.78774014E+000
6.75000000E+001, 5.41394673E+000
7.00000000E+001, 9.51698987E+000
7.25000000E+001, 5.63793878E+000
7.50000000E+001, 6.47805248E+000
7.75000000E+001, 7.36699565E+000
8.00000000E+001, 6.97916224E+000
8.25000000E+001, 9.69689958E+000
8.50000000E+001, 5.40704611E+000
8.75000000E+001, 4.49813812E+000
9.00000000E+001, 4.24954398E+000
9.25000000E+001, 5.82885047E+000
9.50000000E+001, 1.74339115E+000
9.75000000E+001, 6.42479508E+000
1.00000000E+002, 4.82930251E+000
1.02500000E+002, 5.54954675E+000
1.05000000E+002, 2.94685958E+000
1.07500000E+002, 3.26848956E+000
1.10000000E+002, 3.64835240E-001
1.12500000E+002, -1.22801680E+000
1.15000000E+002, 5.36711662E+000
1.17500000E+002, 5.26426620E+000
1.20000000E+002, 6.55934075E+000
1.22500000E+002, 6.19257898E-001
1.25000000E+002, 2.14005119E+000
1.27500000E+002, -2.23114977E+000
1.30000000E+002, -5.26720712E+000
1.32500000E+002, -3.02939186E+000
1.35000000E+002, 2.89589952E+000
1.37500000E+002, 4.32864289E+000
1.40000000E+002, 8.58867453E+000
1.42500000E+002, 2.23821163E+001
1.45000000E+002, 1.66683804E+001
1.47500000E+002, 1.11372997E+001
1.50000000E+002, 7.95007883E+000
1.52500000E+002, 8.02346712E+000
1.55000000E+002, 2.77274380E+000
1.57500000E+002, 2.27780364E-001
1.60000000E+002, -3.66033518E+000
1.62500000E+002, -2.09632247E+000
1.65000000E+002, 1.79046471E+000
1.67500000E+002, -2.27599175E+001
1.70000000E+002, -1.29777749E+001
1.72500000E+002, -2.35615738E+000
1.75000000E+002, -3.39887701E+000
1.77500000E+002, 1.56716462E+000
1.80000000E+002, -3.50181345E+000
1.82500000E+002, -5.50265465E+000
1.85000000E+002, 7.02566900E-001
1.87500000E+002, -2.86331980E+000
1.90000000E+002, -4.71816538E+000
1.92500000E+002, -1.43939372E-001
1.95000000E+002, -8.17940706E+000
1.97500000E+002, -1.13135579E+000
2.00000000E+002, -5.65766339E+000
2.02500000E+002, 3.65912027E+000
2.05000000E+002, 2.17905565E+000
2.07500000E+002, 2.25840037E+000
2.10000000E+002, -5.08984018E+000
2.12500000E+002, -5.38476993E+000
2.15000000E+002, -3.08515146E+000
2.17500000E+002, -1.41541828E+000
2.20000000E+002, -2.52724207E+000
2.22500000E+002, 1.29262695E+000
2.25000000E+002, -5.28811927E+000
2.27500000E+002, 4.77140836E-001
2.30000000E+002, 6.68166007E-001
2.32500000E+002, -3.37182120E+000
2.35000000E+002, 2.76580148E+000
2.37500000E+002, -9.52165540E+000
2.40000000E+002, -1.29079815E+001
2.42500000E+002, -9.25362136E+000
2.45000000E+002, -8.14213232E+000
2.47500000E+002, -2.35903604E+000
2.50000000E+002, -3.98611096E+000
2.52500000E+002, -6.56811713E+000
2.55000000E+002, -3.68800429E+000
2.57500000E+002, -1.84361523E+001
2.60000000E+002, -5.76763869E+000
2.62500000E+002, -1.70171876E+000
2.65000000E+002, -1.32101487E+000
2.67500000E+002, -9.83705191E-001
2.70000000E+002, 2.01916691E+000
2.72500000E+002, -8.66587643E-001
2.75000000E+002, -1.36719699E+001
2.77500000E+002, -1.79717513E+000
2.80000000E+002, -5.50286925E+000
2.82500000E+002, -2.67485918E+000
2.85000000E+002, 1.45411580E+000
2.87500000E+002, 9.35692135E-001
2.90000000E+002, 1.53368874E+000
2.92500000E+002, -3.64106424E+000
2.95000000E+002, -1.60989697E+000
2.97500000E+002, -4.10242253E-001
3.00000000E+002, 8.14734032E-001
3.02500000E+002, -2.33809685E+000
3.05000000E+002, -6.56144839E+000
3.07500000E+002, -2.58404715E+000
3.10000000E+002, -8.03329591E+000
3.12500000E+002, -5.49584171E+000
3.15000000E+002, -9.55285879E+000
3.17500000E+002, -5.48613712E+000
3.20000000E+002, -2.82165323E+000
3.22500000E+002, -7.05057861E-001
3.25000000E+002, 1.41518881E+000
3.27500000E+002, -5.47531473E+000
3.30000000E+002, -4.82700261E+000
3.32500000E+002, -5.38770194E+000
3.35000000E+002, -6.48376040E+000
3.37500000E+002, -5.57137468E+000
3.40000000E+002, -3.73076908E+000
3.42500000E+002, -5.27075556E+000
3.45000000E+002, -4.37179477E+000
3.47500000E+002, -8.03713041E+000
3.50000000E+002, -6.78342962E+000
3.52500000E+002, -2.50992483E+000
3.55000000E+002, -2.73628255E+000
3.57500000E+002, 8.44233207E-002
3.60000000E+002, -1.92549197E+000
3.62500000E+002, -1.99090120E-001
3.65000000E+002, 2.98247493E-001
3.67500000E+002, 1.41850603E+000
3.70000000E+002, -2.21966242E-001
3.72500000E+002, 2.12148471E+000
3.75000000E+002, 9.64210522E-001
3.77500000E+002, 3.36546250E+000
3.80000000E+002, 2.86381031E+000
3.82500000E+002, 2.21259724E+000
3.85000000E+002, 3.69768343E+000
3.87500000E+002, 5.50853885E+000
3.90000000E+002, 2.46072970E+000
3.92500000E+002, 5.86686641E+000
3.95000000E+002, 5.87592436E+000
3.97500000E+002, 6.23996412E+000
4.00000000E+002, 6.15757174E+000
4.02500000E+002, 8.46528640E+000
4.05000000E+002, 7.33091667E+000
4.07500000E+002, 8.34334793E+000
4.10000000E+002, 9.44612939E+000
4.12500000E+002, 9.85089224E+000
4.15000000E+002, 9.17919362E+000
4.17500000E+002, 1.04572184E+001
4.20000000E+002, 1.10297627E+001
4.22500000E+002, 1.10567647E+001
4.25000000E+002, 1.08628102E+001
4.27500000E+002, 1.14085171E+001
4.30000000E+002, 1.22144020E+001
4.32500000E+002, 1.29132805E+001
4.35000000E+002, 1.28981749E+001
4.37500000E+002, 1.40044437E+001
4.40000000E+002, 1.41300074E+001
4.42500000E+002, 1.48236305E+001
4.45000000E+002, 1.43795814E+001
4.47500000E+002, 1.54256932E+001
4.50000000E+002, 1.56384625E+001
4.52500000E+002, 1.55277458E+001
4.55000000E+002, 1.68376907E+001
4.57500000E+002, 1.72848017E+001
4.60000000E+002, 1.77378146E+001
4.62500000E+002, 1.82939723E+001
4.65000000E+002, 1.89042885E+001
4.67500000E+002, 1.90326283E+001
4.70000000E+002, 2.01037092E+001
4.72500000E+002, 2.02506501E+001
4.75000000E+002, 2.09003308E+001
4.77500000E+002, 2.12776317E+001
4.80000000E+002, 2.14573896E+001
4.82500000E+002, 2.26761478E+001
4.85000000E+002, 2.30309186E+001
4.87500000E+002, 2.38834231E+001
4.90000000E+002, 2.44458462E+001
4.92500000E+002, 2.47548697E+001
4.95000000E+002, 2.55305029E+001
4.97500000E+002, 2.63416658E+001
5.00000000E+002, 2.71102417E+001
5.02500000E+002, 2.78825980E+001
5.05000000E+002, 2.85918434E+001
5.07500000E+002, 2.95613480E+001
5.10000000E+002, 3.07671292E+001
5.12500000E+002, 3.22709032E+001
5.15000000E+002, 3.35782829E+001
5.17500000E+002, 3.50847175E+001
5.20000000E+002, 3.68666891E+001
5.22500000E+002, 3.90127291E+001
5.25000000E+002, 4.17014329E+001
5.27500000E+002, 4.56013664E+001
5.30000000E+002, 5.22703744E+001
5.32500000E+002, 6.28373420E+001
5.35000000E+002, 4.94373327E+001
5.37500000E+002, 4.44965687E+001
5.40000000E+002, 4.12754000E+001
5.42500000E+002, 3.89425615E+001
5.45000000E+002, 3.72831969E+001
5.47500000E+002, 3.56975122E+001
5.50000000E+002, 3.47461405E+001
5.52500000E+002, 3.36312099E+001
5.55000000E+002, 3.28077480E+001
5.57500000E+002, 3.21090892E+001
5.60000000E+002, 3.13266157E+001
5.62500000E+002, 3.04791395E+001
5.65000000E+002, 3.00414306E+001
5.67500000E+002, 2.95639424E+001
5.70000000E+002, 2.91682598E+001
5.72500000E+002, 2.88763522E+001
5.75000000E+002, 2.87295243E+001
5.77500000E+002, 2.81251532E+001
5.80000000E+002, 2.76771008E+001
5.82500000E+002, 2.74241201E+001
5.85000000E+002, 2.71498698E+001
5.87500000E+002, 2.67439070E+001
5.90000000E+002, 2.65901992E+001
5.92500000E+002, 2.62031807E+001
5.95000000E+002, 2.62334783E+001
5.97500000E+002, 2.58567559E+001
6.00000000E+002, 2.55851525E+001
6.02500000E+002, 2.55693696E+001
6.05000000E+002, 2.57183943E+001
6.07500000E+002, 2.53119980E+001
6.10000000E+002, 2.51382079E+001
6.12500000E+002, 2.50512028E+001
6.15000000E+002, 2.49825476E+001
6.17500000E+002, 2.49983641E+001
6.20000000E+002, 2.47186455E+001
6.22500000E+002, 2.44370111E+001
6.25000000E+002, 2.45385767E+001
6.27500000E+002, 2.43960058E+001
6.30000000E+002, 2.43842742E+001
6.32500000E+002, 2.44573401E+001
6.35000000E+002, 2.44071518E+001
6.37500000E+002, 2.41618213E+001
6.40000000E+002, 2.42852417E+001
6.42500000E+002, 2.41752638E+001
6.45000000E+002, 2.41965731E+001
6.47500000E+002, 2.43357662E+001
6.50000000E+002, 2.42370226E+001
6.52500000E+002, 2.43936344E+001
6.55000000E+002, 2.42471838E+001
6.57500000E+002, 2.41182144E+001
6.60000000E+002, 2.41431389E+001
6.62500000E+002, 2.40855768E+001
6.65000000E+002, 2.40924922E+001
6.67500000E+002, 2.42453880E+001
6.70000000E+002, 2.39841950E+001
6.72500000E+002, 2.43088043E+001
6.75000000E+002, 2.41824984E+001
6.77500000E+002, 2.42729470E+001
6.80000000E+002, 2.42029034E+001
6.82500000E+002, 2.42438255E+001
6.85000000E+002, 2.44343991E+001
6.87500000E+002, 2.41162058E+001
6.90000000E+002, 2.44612805E+001
6.92500000E+002, 2.43550282E+001
6.95000000E+002, 2.43190128E+001
6.97500000E+002, 2.46883825E+001
7.00000000E+002, 2.45224394E+001
7.02500000E+002, 2.46519136E+001
7.05000000E+002, 2.46991483E+001
7.07500000E+002, 2.47126010E+001
7.10000000E+002, 2.47402756E+001
7.12500000E+002, 2.47656433E+001
7.15000000E+002, 2.48635597E+001
7.17500000E+002, 2.48611829E+001
7.20000000E+002, 2.47884552E+001
7.22500000E+002, 2.52521592E+001
7.25000000E+002, 2.49540759E+001
7.27500000E+002, 2.50400294E+001
7.30000000E+002, 2.52639280E+001
7.32500000E+002, 2.52523170E+001
7.35000000E+002, 2.53278979E+001
7.37500000E+002, 2.54849097E+001
7.40000000E+002, 2.55275931E+001
7.42500000E+002, 2.55879010E+001
7.45000000E+002, 2.58696741E+001
7.47500000E+002, 2.59757341E+001
7.50000000E+002, 2.59891051E+001
7.52500000E+002, 2.62433910E+001
7.55000000E+002, 2.63476565E+001
7.57500000E+002, 2.64051270E+001
7.60000000E+002, 2.65134457E+001
7.62500000E+002, 2.67140372E+001
7.65000000E+002, 2.67995467E+001
7.67500000E+002, 2.69323948E+001
7.70000000E+002, 2.71135508E+001
7.72500000E+002, 2.73242542E+001
7.75000000E+002, 2.73727648E+001
7.77500000E+002, 2.77091495E+001
7.80000000E+002, 2.77523665E+001
7.82500000E+002, 2.79921380E+001
7.85000000E+002, 2.81353709E+001
7.87500000E+002, 2.84389693E+001
7.90000000E+002, 2.84495878E+001
7.92500000E+002, 2.88121374E+001
7.95000000E+002, 2.89439906E+001
7.97500000E+002, 2.92488667E+001
8.00000000E+002, 2.95108904E+001
8.02500000E+002, 2.97274886E+001
8.05000000E+002, 3.00829391E+001
8.07500000E+002, 3.02325879E+001
8.10000000E+002, 3.05520096E+001
8.12500000E+002, 3.09845114E+001
8.15000000E+002, 3.12585836E+001
8.17500000E+002, 3.17413302E+001
8.20000000E+002, 3.20496276E+001
8.22500000E+002, 3.24641923E+001
8.25000000E+002, 3.29077556E+001
8.27500000E+002, 3.33448487E+001
8.30000000E+002, 3.38649931E+001
8.32500000E+002, 3.43999458E+001
8.35000000E+002, 3.49794937E+001
8.37500000E+002, 3.55243694E+001
8.40000000E+002, 3.62378471E+001
8.42500000E+002, 3.70622223E+001
8.45000000E+002, 3.78624264E+001
8.47500000E+002, 3.87689683E+001
8.50000000E+002, 3.97870221E+001
8.52500000E+002, 4.10408418E+001
8.55000000E+002, 4.24625058E+001
8.57500000E+002, 4.40588828E+001
8.60000000E+002, 4.60832417E+001
8.62500000E+002, 4.85165070E+001
8.65000000E+002, 5.12550460E+001
8.67500000E+002, 5.32319823E+001
8.70000000E+002, 5.19349114E+001
8.72500000E+002, 4.89020800E+001
8.75000000E+002, 4.62275101E+001
8.77500000E+002, 4.40168023E+001
8.80000000E+002, 4.21334105E+001
8.82500000E+002, 4.06656740E+001
8.85000000E+002, 3.93170621E+001
8.87500000E+002, 3.81906783E+001
8.90000000E+002, 3.70310393E+001
8.92500000E+002, 3.61464092E+001
8.95000000E+002, 3.53173216E+001
8.97500000E+002, 3.45210160E+001
9.00000000E+002, 3.35715157E+001
9.02500000E+002, 3.30790922E+001
9.05000000E+002, 3.23736585E+001
9.07500000E+002, 3.17466892E+001
9.10000000E+002, 3.10741026E+001
9.12500000E+002, 3.06033705E+001
9.15000000E+002, 3.00493323E+001
9.17500000E+002, 2.93755817E+001
9.20000000E+002, 2.92082259E+001
9.22500000E+002, 2.85812078E+001
9.25000000E+002, 2.82062609E+001
9.27500000E+002, 2.77931675E+001
9.30000000E+002, 2.74626256E+001
9.32500000E+002, 2.68387976E+001
9.35000000E+002, 2.65699638E+001
9.37500000E+002, 2.59465087E+001
9.40000000E+002, 2.60098897E+001
9.42500000E+002, 2.54687166E+001
9.45000000E+002, 2.52175055E+001
9.47500000E+002, 2.47867176E+001
9.50000000E+002, 2.40598213E+001
9.52500000E+002, 2.40411720E+001
9.55000000E+002, 2.34260482E+001
9.57500000E+002, 2.34531159E+001
9.60000000E+002, 2.31953768E+001
9.62500000E+002, 2.25373845E+001
9.65000000E+002, 2.23180009E+001
9.67500000E+002, 2.20363936E+001
9.70000000E+002, 2.18974614E+001
9.72500000E+002, 2.12933733E+001
9.75000000E+002, 2.09355059E+001
9.77500000E+002, 2.05327873E+001
9.80000000E+002, 2.05517419E+001
9.82500000E+002, 2.02857189E+001
9.85000000E+002, 2.01342311E+001
9.87500000E+002, 1.94244569E+001
9.90000000E+002, 1.92145749E+001
9.92500000E+002, 1.90997533E+001
9.95000000E+002, 1.86611474E+001
9.97500000E+002, 1.86416034E+001
1.00000000E+003, 1.81061318E+001
1.00250000E+003, 1.78741093E+001
1.00500000E+003, 1.77053063E+001
1.00750000E+003, 1.72999666E+001
1.01000000E+003, 1.73442139E+001
1.01250000E+003, 1.68308492E+001
1.01500000E+003, 1.66019902E+001
1.01750000E+003, 1.63461676E+001
1.02000000E+003, 1.58709713E+001
1.02250000E+003, 1.53570645E+001
1.02500000E+003, 1.58539317E+001
1.02750000E+003, 1.51888584E+001
1.03000000E+003, 1.49717974E+001
1.03250000E+003, 1.43722466E+001
1.03500000E+003, 1.39552752E+001
1.03750000E+003, 1.38684304E+001
1.04000000E+003, 1.38326113E+001
1.04250000E+003, 1.39632870E+001
1.04500000E+003, 1.31994913E+001
1.04750000E+003, 1.32728311E+001
1.05000000E+003, 1.29447192E+001
1.05250000E+003, 1.22794943E+001
1.05500000E+003, 1.09249115E+001
1.05750000E+003, 1.12343871E+001
1.06000000E+003, 1.21392704E+001
1.06250000E+003, 1.13771230E+001
1.06500000E+003, 1.12884036E+001
1.06750000E+003, 1.09316511E+001
1.07000000E+003, 1.02485838E+001
1.07250000E+003, 9.89775741E+000
1.07500000E+003, 1.00613533E+001
1.07750000E+003, 9.58131411E+000
