Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:40:48 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
0.00000000E+000, 3.38688725E+001
2.50000000E+000, 4.34332025E+000
5.00000000E+000, 3.00635962E+000
7.50000000E+000, 5.20739404E+000
1.00000000E+001, 1.22191498E+001
1.25000000E+001, 1.55935357E+001
1.50000000E+001, 3.36127853E+000
1.75000000E+001, 4.57735595E+000
2.00000000E+001, -2.34012522E-001
2.25000000E+001, 2.01864360E+000
2.50000000E+001, -1.06891900E+000
2.75000000E+001, -1.74729749E+000
3.00000000E+001, 3.58401129E+000
3.25000000E+001, 5.20759569E+000
3.50000000E+001, 1.00015389E+000
3.75000000E+001, 9.66086787E-001
4.00000000E+001, -2.32696647E+000
4.25000000E+001, 5.50671085E+000
4.50000000E+001, -1.30625680E+000
4.75000000E+001, -2.80704163E+001
5.00000000E+001, -8.47207568E+000
5.25000000E+001, -5.62725330E-001
5.50000000E+001, 2.24849271E+000
5.75000000E+001, 2.34790499E+000
6.00000000E+001, -7.39453440E+000
6.25000000E+001, -4.00914850E-001
6.50000000E+001, -9.60121744E-001
6.75000000E+001, -3.77849369E-001
7.00000000E+001, -2.23385797E+000
7.25000000E+001, -4.70206361E+000
7.50000000E+001, -6.14285508E+000
7.75000000E+001, -1.47986087E+000
8.00000000E+001, -1.31408515E+000
8.25000000E+001, -1.04548202E+000
8.50000000E+001, -3.30981430E+000
8.75000000E+001, -1.97334404E+000
9.00000000E+001, 4.05601661E+000
9.25000000E+001, 6.12027418E-001
9.50000000E+001, 4.67115151E-001
9.75000000E+001, -1.99485408E+000
1.00000000E+002, 3.00807967E+000
1.02500000E+002, 2.88922812E+000
1.05000000E+002, -2.06973605E+000
1.07500000E+002, 3.09833697E+000
1.10000000E+002, 2.87088065E+000
1.12500000E+002, 4.51993671E-001
1.15000000E+002, 1.01993760E+000
1.17500000E+002, 5.97195012E-001
1.20000000E+002, 1.22072276E+000
1.22500000E+002, 2.71589596E+000
1.25000000E+002, 3.98778443E+000
1.27500000E+002, 6.53940116E+000
1.30000000E+002, 7.53620573E+000
1.32500000E+002, 1.02950375E+001
1.35000000E+002, 1.14546200E+001
1.37500000E+002, 1.48751015E+001
1.40000000E+002, 1.91929369E+001
1.42500000E+002, 3.38071256E+001
1.45000000E+002, 2.34494006E+001
1.47500000E+002, 1.68368952E+001
1.50000000E+002, 1.27190541E+001
1.52500000E+002, 8.21121548E+000
1.55000000E+002, 8.42705664E+000
1.57500000E+002, 8.79202511E+000
1.60000000E+002, 4.22732008E+000
1.62500000E+002, 5.00511517E+000
1.65000000E+002, 4.50790787E+000
1.67500000E+002, 5.92179971E+000
1.70000000E+002, 4.01301749E+000
1.72500000E+002, 2.69990351E+000
1.75000000E+002, 2.70388652E+000
1.77500000E+002, 2.29201450E+000
1.80000000E+002, 1.59186980E-001
1.82500000E+002, 2.35183371E+000
1.85000000E+002, -5.58283962E+000
1.87500000E+002, -3.72491218E-001
1.90000000E+002, -2.30211115E+000
1.92500000E+002, -2.18190062E+000
1.95000000E+002, -1.63782278E+000
1.97500000E+002, -3.34686953E+000
2.00000000E+002, -9.86953376E-001
2.02500000E+002, 1.12023058E+000
2.05000000E+002, -2.27734698E+000
2.07500000E+002, -3.92829623E+000
2.10000000E+002, 2.18170409E-001
2.12500000E+002, 2.16816383E+000
2.15000000E+002, -4.83288303E+000
2.17500000E+002, -6.20013872E+000
2.20000000E+002, -2.03597170E+001
2.22500000E+002, -6.11894307E+000
2.25000000E+002, -2.66966400E+000
2.27500000E+002, -3.12607891E-003
2.30000000E+002, -4.91856146E-001
2.32500000E+002, -1.07255352E+001
2.35000000E+002, -4.56376394E+000
2.37500000E+002, -1.27772707E-001
2.40000000E+002, 1.47529160E-001
2.42500000E+002, -1.39440737E+000
2.45000000E+002, 2.60854327E-001
2.47500000E+002, -2.37702877E+000
2.50000000E+002, -5.68123021E+000
2.52500000E+002, -5.37189597E+000
2.55000000E+002, -2.48506555E+000
2.57500000E+002, -3.38429472E+000
2.60000000E+002, -6.73704074E+000
2.62500000E+002, -1.24952862E+001
2.65000000E+002, -3.26208981E+000
2.67500000E+002, -3.44287650E+000
2.70000000E+002, -2.45969143E+000
2.72500000E+002, -1.92552423E+000
2.75000000E+002, -1.05532541E-001
2.77500000E+002, -5.35184668E+000
2.80000000E+002, -1.07158979E+000
2.82500000E+002, -2.03770683E+000
2.85000000E+002, -6.28796369E+000
2.87500000E+002, -5.45478613E+000
2.90000000E+002, -6.96112194E+000
2.92500000E+002, -4.16576099E+000
2.95000000E+002, -1.13897412E+001
2.97500000E+002, -1.05473987E+001
3.00000000E+002, -7.99868751E+000
3.02500000E+002, -1.32958860E+001
3.05000000E+002, -2.75941580E+001
3.07500000E+002, -2.05054457E+001
3.10000000E+002, -8.18211267E+000
3.12500000E+002, -1.29683533E+001
3.15000000E+002, -1.93286479E+001
3.17500000E+002, -2.30493748E+000
3.20000000E+002, -8.82230546E+000
3.22500000E+002, -7.28201743E+000
3.25000000E+002, -3.92178732E+000
3.27500000E+002, -1.34049148E+001
3.30000000E+002, -9.02508512E+000
3.32500000E+002, -1.58272133E+001
3.35000000E+002, -9.97764292E+000
3.37500000E+002, -9.20582511E+000
3.40000000E+002, -1.04843763E+001
3.42500000E+002, -4.32689837E+000
3.45000000E+002, -7.53491169E+000
3.47500000E+002, -2.41179130E+001
3.50000000E+002, -1.00468962E+001
3.52500000E+002, -6.44201136E+000
3.55000000E+002, -1.15540980E+001
3.57500000E+002, -1.64350178E+001
3.60000000E+002, -8.78283152E+000
3.62500000E+002, -9.60869721E+000
3.65000000E+002, -2.09369999E+001
3.67500000E+002, -5.56693399E+000
3.70000000E+002, -9.73712621E+000
