Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:44:48 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
0.00000000E+000, 3.51393978E+001
2.50000000E+000, 1.85263008E+000
5.00000000E+000, -5.60994485E-001
7.50000000E+000, 5.20950564E+000
1.00000000E+001, 5.80117228E+000
1.25000000E+001, -4.95643270E+000
1.50000000E+001, 6.41473365E+000
1.75000000E+001, 8.46851038E-001
2.00000000E+001, 6.88176903E+000
2.25000000E+001, 7.45278549E+000
2.50000000E+001, 5.34849780E+000
2.75000000E+001, 1.08995616E+001
3.00000000E+001, 6.24689493E+000
3.25000000E+001, 3.72785036E+000
3.50000000E+001, 8.39653742E+000
3.75000000E+001, 6.44010523E+000
4.00000000E+001, 3.94012821E+000
4.25000000E+001, 4.20908506E+000
4.50000000E+001, -2.67297666E+000
4.75000000E+001, 4.29336452E+000
5.00000000E+001, -8.54679060E+000
5.25000000E+001, -1.09581981E+001
5.50000000E+001, -6.92944961E+000
5.75000000E+001, 2.21597055E+000
6.00000000E+001, -5.79824208E+000
6.25000000E+001, 1.22933114E+000
6.50000000E+001, 9.33344190E-001
6.75000000E+001, 5.17258329E+000
7.00000000E+001, -6.68051540E-002
7.25000000E+001, -2.78112069E+000
7.50000000E+001, -6.13375407E+000
7.75000000E+001, 2.09624778E+000
8.00000000E+001, 7.94611219E+000
8.25000000E+001, 3.28210035E+000
8.50000000E+001, 4.87291699E+000
8.75000000E+001, 8.06124905E+000
9.00000000E+001, 8.66728755E+000
9.25000000E+001, 9.53193149E+000
9.50000000E+001, 1.25175571E+001
9.75000000E+001, 1.22803019E+001
1.00000000E+002, 1.27328167E+001
1.02500000E+002, 1.46516375E+001
1.05000000E+002, 1.52014598E+001
1.07500000E+002, 1.54627455E+001
1.10000000E+002, 1.66258550E+001
1.12500000E+002, 1.82050211E+001
1.15000000E+002, 2.05174344E+001
1.17500000E+002, 2.10457962E+001
1.20000000E+002, 2.27931881E+001
1.22500000E+002, 2.40423985E+001
1.25000000E+002, 2.58952177E+001
1.27500000E+002, 2.71808112E+001
1.30000000E+002, 2.93036725E+001
1.32500000E+002, 3.19677580E+001
1.35000000E+002, 3.48193669E+001
1.37500000E+002, 3.80888248E+001
1.40000000E+002, 4.27632225E+001
1.42500000E+002, 5.57971230E+001
1.45000000E+002, 4.71935800E+001
1.47500000E+002, 4.13500294E+001
1.50000000E+002, 3.64308508E+001
1.52500000E+002, 3.50532502E+001
1.55000000E+002, 3.30386803E+001
1.57500000E+002, 3.09839730E+001
1.60000000E+002, 2.96042789E+001
1.62500000E+002, 2.88313804E+001
1.65000000E+002, 2.83478754E+001
1.67500000E+002, 2.72464022E+001
1.70000000E+002, 2.65298676E+001
1.72500000E+002, 2.62830553E+001
1.75000000E+002, 2.58723210E+001
1.77500000E+002, 2.54567553E+001
1.80000000E+002, 2.49671095E+001
1.82500000E+002, 2.48365397E+001
1.85000000E+002, 2.47852237E+001
1.87500000E+002, 2.39904634E+001
1.90000000E+002, 2.39626540E+001
1.92500000E+002, 2.40598002E+001
1.95000000E+002, 2.39584953E+001
1.97500000E+002, 2.35402659E+001
2.00000000E+002, 2.31476118E+001
2.02500000E+002, 2.29690563E+001
2.05000000E+002, 2.32239616E+001
2.07500000E+002, 2.26615140E+001
2.10000000E+002, 2.26474816E+001
2.12500000E+002, 2.25011141E+001
2.15000000E+002, 2.23300022E+001
2.17500000E+002, 2.23298665E+001
2.20000000E+002, 2.23296569E+001
2.22500000E+002, 2.19492201E+001
2.25000000E+002, 2.18906310E+001
2.27500000E+002, 2.22479307E+001
2.30000000E+002, 2.19670872E+001
2.32500000E+002, 2.14812728E+001
2.35000000E+002, 2.14131334E+001
2.37500000E+002, 2.12436753E+001
2.40000000E+002, 2.13947582E+001
2.42500000E+002, 2.09414562E+001
2.45000000E+002, 2.08334528E+001
2.47500000E+002, 2.08956141E+001
2.50000000E+002, 2.09530724E+001
2.52500000E+002, 2.05051022E+001
2.55000000E+002, 2.10337650E+001
2.57500000E+002, 2.06787109E+001
2.60000000E+002, 2.06978558E+001
2.62500000E+002, 2.07849909E+001
2.65000000E+002, 2.08019129E+001
2.67500000E+002, 2.10777056E+001
2.70000000E+002, 2.04954655E+001
2.72500000E+002, 2.09413084E+001
2.75000000E+002, 2.07925753E+001
2.77500000E+002, 2.02611377E+001
2.80000000E+002, 2.06878390E+001
2.82500000E+002, 2.04439809E+001
2.85000000E+002, 2.05119691E+001
2.87500000E+002, 2.00465560E+001
2.90000000E+002, 2.07270918E+001
2.92500000E+002, 2.03634023E+001
2.95000000E+002, 2.02422883E+001
2.97500000E+002, 2.02613430E+001
3.00000000E+002, 2.05232245E+001
3.02500000E+002, 2.02965623E+001
3.05000000E+002, 1.98534987E+001
3.07500000E+002, 2.07161657E+001
3.10000000E+002, 2.00107304E+001
3.12500000E+002, 2.00842599E+001
3.15000000E+002, 2.03915817E+001
3.17500000E+002, 2.02631809E+001
3.20000000E+002, 2.00377376E+001
3.22500000E+002, 2.00726285E+001
3.25000000E+002, 1.99910874E+001
3.27500000E+002, 1.98207490E+001
3.30000000E+002, 1.99670077E+001
3.32500000E+002, 1.97097002E+001
3.35000000E+002, 2.03833776E+001
3.37500000E+002, 2.00086976E+001
3.40000000E+002, 2.05602143E+001
3.42500000E+002, 1.94287190E+001
3.45000000E+002, 2.04853777E+001
3.47500000E+002, 2.01415075E+001
3.50000000E+002, 2.02327435E+001
3.52500000E+002, 1.98235230E+001
3.55000000E+002, 1.97480349E+001
3.57500000E+002, 1.97183975E+001
3.60000000E+002, 1.99095297E+001
3.62500000E+002, 2.01750632E+001
3.65000000E+002, 2.02672976E+001
3.67500000E+002, 1.99141213E+001
3.70000000E+002, 2.04027394E+001
3.72500000E+002, 1.98421976E+001
3.75000000E+002, 2.02166015E+001
3.77500000E+002, 2.03267858E+001
3.80000000E+002, 1.98698360E+001
3.82500000E+002, 2.00931933E+001
3.85000000E+002, 2.00509029E+001
3.87500000E+002, 2.02724770E+001
3.90000000E+002, 2.00917629E+001
3.92500000E+002, 2.00201702E+001
3.95000000E+002, 2.03239219E+001
3.97500000E+002, 2.00103302E+001
4.00000000E+002, 2.01431003E+001
4.02500000E+002, 1.98854311E+001
4.05000000E+002, 2.00463970E+001
4.07500000E+002, 2.02667932E+001
4.10000000E+002, 2.02002850E+001
4.12500000E+002, 2.03561775E+001
4.15000000E+002, 2.02410877E+001
4.17500000E+002, 2.03992901E+001
4.20000000E+002, 2.02985693E+001
4.22500000E+002, 2.03252572E+001
4.25000000E+002, 2.04577241E+001
4.27500000E+002, 2.05891541E+001
4.30000000E+002, 2.05025382E+001
4.32500000E+002, 2.06012447E+001
4.35000000E+002, 2.03357234E+001
4.37500000E+002, 2.08013347E+001
4.40000000E+002, 2.05105770E+001
4.42500000E+002, 2.03169539E+001
4.45000000E+002, 2.05559962E+001
4.47500000E+002, 2.05993722E+001
4.50000000E+002, 2.05752892E+001
4.52500000E+002, 2.05994242E+001
4.55000000E+002, 2.05870193E+001
4.57500000E+002, 2.08200476E+001
4.60000000E+002, 2.04263968E+001
4.62500000E+002, 2.04225750E+001
4.65000000E+002, 2.07211052E+001
4.67500000E+002, 2.07811030E+001
4.70000000E+002, 2.08185256E+001
4.72500000E+002, 2.06955051E+001
4.75000000E+002, 2.06709469E+001
4.77500000E+002, 2.07134462E+001
4.80000000E+002, 2.07276102E+001
4.82500000E+002, 2.07147680E+001
4.85000000E+002, 2.06483513E+001
4.87500000E+002, 2.09253230E+001
4.90000000E+002, 2.07685284E+001
4.92500000E+002, 2.06755436E+001
4.95000000E+002, 2.07843896E+001
4.97500000E+002, 2.07554084E+001
5.00000000E+002, 2.06930353E+001
5.02500000E+002, 2.05979944E+001
5.05000000E+002, 2.04559913E+001
5.07500000E+002, 2.00137487E+001
5.10000000E+002, 1.99055439E+001
5.12500000E+002, 1.99733949E+001
5.15000000E+002, 1.96030524E+001
5.17500000E+002, 1.78217523E+001
5.20000000E+002, 1.66386723E+001
5.22500000E+002, 1.73933854E+001
5.25000000E+002, 1.44272807E+001
5.27500000E+002, -9.58039433E+000
5.30000000E+002, 2.46045199E+001
5.32500000E+002, 3.64982355E+001
5.35000000E+002, 2.81028221E+001
5.37500000E+002, 2.82938015E+001
5.40000000E+002, 2.67480241E+001
5.42500000E+002, 2.57905208E+001
5.45000000E+002, 2.55214678E+001
5.47500000E+002, 2.47211833E+001
5.50000000E+002, 2.47157138E+001
5.52500000E+002, 2.49941715E+001
5.55000000E+002, 2.42264840E+001
5.57500000E+002, 2.47321076E+001
5.60000000E+002, 2.45058295E+001
5.62500000E+002, 2.40862901E+001
5.65000000E+002, 2.42935217E+001
5.67500000E+002, 2.44366514E+001
5.70000000E+002, 2.45230779E+001
5.72500000E+002, 2.41575965E+001
5.75000000E+002, 2.44755016E+001
5.77500000E+002, 2.45260037E+001
5.80000000E+002, 2.47799749E+001
5.82500000E+002, 2.44996402E+001
5.85000000E+002, 2.46836369E+001
5.87500000E+002, 2.43570839E+001
5.90000000E+002, 2.47511516E+001
5.92500000E+002, 2.46609628E+001
5.95000000E+002, 2.46588416E+001
5.97500000E+002, 2.47260818E+001
6.00000000E+002, 2.47052725E+001
6.02500000E+002, 2.47636235E+001
6.05000000E+002, 2.48858807E+001
6.07500000E+002, 2.46729523E+001
6.10000000E+002, 2.46282734E+001
6.12500000E+002, 2.47883391E+001
6.15000000E+002, 2.49118675E+001
6.17500000E+002, 2.49714701E+001
6.20000000E+002, 2.45659749E+001
6.22500000E+002, 2.49786142E+001
6.25000000E+002, 2.49586700E+001
6.27500000E+002, 2.52656674E+001
6.30000000E+002, 2.50725118E+001
6.32500000E+002, 2.53936306E+001
6.35000000E+002, 2.52483567E+001
6.37500000E+002, 2.50521492E+001
6.40000000E+002, 2.57320076E+001
6.42500000E+002, 2.59257408E+001
6.45000000E+002, 2.56984318E+001
6.47500000E+002, 2.56804322E+001
6.50000000E+002, 2.58737045E+001
