Label:, CH1-2: é¸îgêîâûìöä÷êî
DateTime:, Thu Feb 08 16:43:23 2018
DataKind:, CH1-2, FRF, Mag
DataPoints:, 1601
DataCalc:, H1
Frequency:, 0.000 , 4000.000, Hz
Sample:, 4096, Internal
Average:, 3, Power/Sum
Voltage(CH1):, -20.000, dBVrms
Voltage(CH2):, -10.000, dBVrms
EU/V(CH1):, 3.757E+001
EU/V(CH2):, 1.088E+003
Window(CH1):, Rect
Window(CH2):, Rect
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, m/s2/N
Y-AxisMagniude:
0.00000000E+000, 3.45953685E+001
2.50000000E+000, 7.48459035E+000
5.00000000E+000, 2.83160441E+000
7.50000000E+000, 7.27784122E+000
1.00000000E+001, 1.02697224E+001
1.25000000E+001, 1.70350975E+001
1.50000000E+001, 3.96673977E+000
1.75000000E+001, 7.56192829E-001
2.00000000E+001, 5.47583235E+000
2.25000000E+001, -1.50383089E+000
2.50000000E+001, 6.35680309E+000
2.75000000E+001, 6.63100958E+000
3.00000000E+001, 1.01161849E+000
3.25000000E+001, 5.05287838E+000
3.50000000E+001, 2.55761549E+000
3.75000000E+001, -8.20764376E+000
4.00000000E+001, 3.88208673E+000
4.25000000E+001, 4.93170927E+000
4.50000000E+001, 1.27037075E+000
4.75000000E+001, -1.41995403E+000
5.00000000E+001, 3.88144457E+000
5.25000000E+001, 3.77251794E+000
5.50000000E+001, 2.87766488E+000
5.75000000E+001, 3.23023953E+000
6.00000000E+001, 4.42824576E+000
6.25000000E+001, 4.54230814E+000
6.50000000E+001, 1.01468895E+001
6.75000000E+001, 1.17244923E+001
7.00000000E+001, 1.28135917E+001
7.25000000E+001, 1.27197113E+001
7.50000000E+001, 1.41987756E+001
7.75000000E+001, 1.51830289E+001
8.00000000E+001, 1.48741398E+001
8.25000000E+001, 1.66335671E+001
8.50000000E+001, 1.69128260E+001
8.75000000E+001, 1.77474625E+001
9.00000000E+001, 1.83060113E+001
9.25000000E+001, 1.88042623E+001
9.50000000E+001, 2.02850180E+001
9.75000000E+001, 2.08485168E+001
1.00000000E+002, 2.19649372E+001
1.02500000E+002, 2.29176588E+001
1.05000000E+002, 2.39867380E+001
1.07500000E+002, 2.50418533E+001
1.10000000E+002, 2.52977076E+001
1.12500000E+002, 2.64013391E+001
1.15000000E+002, 2.73535686E+001
1.17500000E+002, 2.88865588E+001
1.20000000E+002, 3.02016031E+001
1.22500000E+002, 3.10113030E+001
1.25000000E+002, 3.22794524E+001
1.27500000E+002, 3.42025648E+001
1.30000000E+002, 3.65183053E+001
1.32500000E+002, 3.88143562E+001
1.35000000E+002, 4.15371527E+001
1.37500000E+002, 4.53020886E+001
1.40000000E+002, 5.10987498E+001
1.42500000E+002, 6.15716193E+001
1.45000000E+002, 5.03066090E+001
1.47500000E+002, 4.54614690E+001
1.50000000E+002, 4.23350445E+001
1.52500000E+002, 4.02808340E+001
1.55000000E+002, 3.87911498E+001
1.57500000E+002, 3.74699128E+001
1.60000000E+002, 3.61052280E+001
1.62500000E+002, 3.52964618E+001
1.65000000E+002, 3.45551523E+001
1.67500000E+002, 3.37406009E+001
1.70000000E+002, 3.31972283E+001
1.72500000E+002, 3.28014890E+001
1.75000000E+002, 3.19144337E+001
1.77500000E+002, 3.14308040E+001
1.80000000E+002, 3.10409604E+001
1.82500000E+002, 3.11502358E+001
1.85000000E+002, 3.07105028E+001
1.87500000E+002, 3.05257700E+001
1.90000000E+002, 2.98212539E+001
1.92500000E+002, 3.00158410E+001
1.95000000E+002, 2.99732678E+001
1.97500000E+002, 2.95091551E+001
2.00000000E+002, 2.91729077E+001
2.02500000E+002, 2.86774621E+001
2.05000000E+002, 2.89654775E+001
2.07500000E+002, 2.85061236E+001
2.10000000E+002, 2.83040931E+001
2.12500000E+002, 2.81606765E+001
2.15000000E+002, 2.79090989E+001
2.17500000E+002, 2.78727514E+001
2.20000000E+002, 2.78186630E+001
2.22500000E+002, 2.77943949E+001
2.25000000E+002, 2.76782139E+001
2.27500000E+002, 2.77479042E+001
2.30000000E+002, 2.74988986E+001
2.32500000E+002, 2.76744979E+001
2.35000000E+002, 2.73023109E+001
2.37500000E+002, 2.73708985E+001
2.40000000E+002, 2.69986460E+001
2.42500000E+002, 2.68939848E+001
2.45000000E+002, 2.69802540E+001
2.47500000E+002, 2.65381831E+001
2.50000000E+002, 2.65688711E+001
2.52500000E+002, 2.64525747E+001
2.55000000E+002, 2.64595236E+001
2.57500000E+002, 2.66670281E+001
2.60000000E+002, 2.61982599E+001
2.62500000E+002, 2.59792188E+001
2.65000000E+002, 2.58740428E+001
2.67500000E+002, 2.59689267E+001
2.70000000E+002, 2.57799280E+001
2.72500000E+002, 2.56625338E+001
2.75000000E+002, 2.57267467E+001
2.77500000E+002, 2.57948902E+001
2.80000000E+002, 2.57646227E+001
